point,date,pred_TimeGPT
point977,2020-01-13,0.5887753
point977,2020-01-28,0.5885613
point977,2020-02-12,0.5883463
point977,2020-02-27,0.58869594
point977,2020-03-13,0.5896962
point977,2020-03-28,0.58951336
point977,2020-04-12,0.5884605
point977,2020-04-27,0.5893823
point977,2020-05-12,0.5908767
point977,2020-05-27,0.59141
point977,2020-06-11,0.5919468
point977,2020-06-26,0.5920238
point977,2020-07-11,0.59081763
point977,2020-07-26,0.58995473
point977,2020-08-10,0.5904808
point977,2020-08-25,0.5903521
point977,2020-09-09,0.5905314
point977,2020-09-24,0.5908838
point977,2020-10-09,0.59075564
point977,2020-10-24,0.59042656
point977,2020-11-08,0.59017545
point977,2020-11-23,0.59012985
point977,2020-12-08,0.59036565
point977,2020-12-23,0.5902116
point977,2021-01-07,0.5901793
point977,2021-01-22,0.5903097
point977,2021-02-06,0.5899274
point977,2021-02-21,0.58990157
point977,2021-03-08,0.5898835
point977,2021-03-23,0.59001917
point977,2021-04-07,0.5900382
point977,2021-04-22,0.5901559
point977,2021-05-07,0.59023076
point977,2021-05-22,0.58996147
point977,2021-06-06,0.58973414
point977,2021-06-21,0.58983517
point977,2021-07-06,0.5900876
point977,2021-07-21,0.5901648
point977,2021-08-05,0.5902439
point977,2021-08-20,0.5902436
point977,2021-09-04,0.590081
point977,2021-09-19,0.58987045
point977,2021-10-04,0.5899448
point977,2021-10-19,0.5900951
point977,2021-11-03,0.5901399
point977,2021-11-18,0.5901956
point977,2021-12-03,0.5901949
point977,2021-12-18,0.59005153
point977,2022-01-02,0.5899255
point977,2022-01-17,0.58996034
point977,2022-02-01,0.5901688
point977,2022-02-16,0.59019667
point977,2022-03-03,0.59019184
point977,2022-03-18,0.5901628
point977,2022-04-02,0.59004635
point977,2022-04-17,0.58988607
point977,2022-05-02,0.5899436
point977,2022-05-17,0.5901662
point977,2022-06-01,0.59020066
point977,2022-06-16,0.5901921
point977,2022-07-01,0.5901607
point977,2022-07-16,0.5900535
point977,2022-07-31,0.58987063
point977,2022-08-15,0.58992743
point977,2022-08-30,0.59014803
point977,2022-09-14,0.5901779
point977,2022-09-29,0.5901693
point977,2022-10-14,0.5901428
point977,2022-10-29,0.5900564
point977,2022-11-13,0.5898802
point977,2022-11-28,0.5899341
point977,2022-12-13,0.5901401
point977,2022-12-28,0.59016204
point977,2023-01-12,0.5901509
point977,2023-01-27,0.5901239
point977,2023-02-11,0.5900434
point977,2023-02-26,0.5898805
point977,2023-03-13,0.58992666
point977,2023-03-28,0.59013295
point977,2023-04-12,0.5901519
point977,2023-04-27,0.5901395
point977,2023-05-12,0.5901122
point977,2023-05-27,0.59003335
point977,2023-06-11,0.5898709
point977,2023-06-26,0.58991563
point977,2023-07-11,0.590118
point977,2023-07-26,0.5901365
point977,2023-08-10,0.59012485
point977,2023-08-25,0.59009975
point977,2023-09-09,0.5900265
point977,2023-09-24,0.58986723
point977,2023-10-09,0.5899094
point977,2023-10-24,0.5901055
point977,2023-11-08,0.59012264
point977,2023-11-23,0.5901112
point977,2023-12-08,0.59008807
point977,2023-12-23,0.59002006
point977,2024-01-07,0.5898658
point977,2024-01-22,0.58990496
point977,2024-02-06,0.5900949
point977,2024-02-21,0.5901108
point977,2024-03-07,0.59009945
point977,2024-03-22,0.59007716
point977,2024-04-06,0.5900119
point977,2024-04-21,0.5898629
point977,2024-05-06,0.589899
point977,2024-05-21,0.5900845
point977,2024-06-05,0.5900998
point977,2024-06-20,0.5900887
point977,2024-07-05,0.5900675
point977,2024-07-20,0.5900048
point977,2024-08-04,0.5898594
point977,2024-08-19,0.58989364
point977,2024-09-03,0.5900744
point977,2024-09-18,0.59008926
point977,2024-10-03,0.59007853
point977,2024-10-18,0.59005845
point977,2024-11-02,0.58999866
point977,2024-11-17,0.589857
point977,2024-12-02,0.5898891
point977,2024-12-17,0.5900652
point977,2025-01-01,0.5900794
point977,2025-01-16,0.590069
point977,2025-01-31,0.59004986
point977,2025-02-15,0.5899927
point977,2025-03-02,0.5898548
point977,2025-03-17,0.58988494
point977,2025-04-01,0.59005654
point977,2025-04-16,0.5900703
point977,2025-05-01,0.5900601
point977,2025-05-16,0.5900418
